row_id,company_id,company_name,industry,country,employee_count,annual_revenue_usd,invoice_id,invoice_date,due_date,invoice_amount_usd,status,contact_name,contact_email,address,notes
36,CMP-100035,North Dynamics LLC,FinTech,MX,1555,800747.4432103204,INV-956408,01/15/2026,,25973.08,Paid,L. Garcia,ops0035@example.org,4578 Maple St,acct moved to new owner
37,CMP-100036,North Systes LLC,Retail,BR,8720,22587.982382778107,INV-699600,01/03/2026,03/03/2026,1400.59,void,J. Nguyen,ops0036@example.org,8177 Pine St,invoice scan low quality
38,CMP-100037,Global Foods LLC,Software,US,5124,3943574.2758565005,INV-200132,11/27/2025,2025/12/21,117132.19,over-due,K. Garcia / K. Garcia,ops0037@example.org,1351 Pine St,acct moved to new owner
38-dup,CMP-100037,Global Foods LLC,Software,US,5124,3943574.2758565005,INV-200132,11/27/2025,2025/12/21,117132.19,over-due,K. Garcia / K. Garcia,ops0037@example.org,1351 Pine St,acct moved to new owner
39,CMP-100038,North Systems LLC,FinTech,JP,1042,2007938.9767426378,INV-282897,13-Oct-2025,unknown,66771.73,void,M. Nguyen / M. Nguyen,ops0038@example.org,7685 Pine St,PO attached
40,CMP-100039,Global Energy LLC,Energy,BR,10567,674563.0449357205,INV-539226,02-Feb-2026,2026-03-16,23484.18,refunded,J. Brown,ops0039@example.org,3954 Sunset St,received via fax
41,CMP-100040,Delta Foods LLC,Logistics,JP,4498,2171591.94,INV-329623,10/25/2025,10-Nov-2025,114252.93,void,K. Nguyen,ops0040@example.org,3347 Main St,check signature ???
42,CMP-100041,Union Dynamics LLC,Manufacturing,DE,1507,539918.3315358929,INV-653253,29-Sep-2025,10/31/2025,21010,paid,L. Kim,ops0041@example.org,571 Sunset St,invoice scan low quality (unclear)
43,CMP-100042,Delta Energy LLC,Retail,CA,4226,816737.4691695147,INV-599096,22-Nov-2025,2025-12-15,79601.44,paid,J. Garcia,ops0042@example.org,5930 Maple St,manual override
44,CMP-100043,Union Foods LLC,Energy,JP,5996,3966411.6477601374,INV-819788,10/24/2025,2025/11/18,109880.55,overdue,M. Patel,ops0043@example.org,9048 Pine St,see thread #A12
45,CMP-100044,Delta Foods LLC,Manufacturing,FR,9026,1761414.6953081875,INV-220358,10-Sep-2025,2025-10-04,76372.47,overdue,J. Nguyen,ops0044@example.org,5878 Maple St,see thread #A12
46,CMP-100045,North Foods LLC,Software,CA,11226,2313047.396250614,INV-741068,22-Oct-2025,11/22/2025,111450.6,pending,M. Brown,ops0045@example.org,550 Main St,received via fax
47,CMP-100046,Prime Foods LLC,Software,JP,6343, 778634.80 ,INV-599732,2025-09-30,25-Oct-2025, 22060.10 ,refunded,J. Nguyen,ops0046@example.org,7933 Sunset St,acct moved to new owner
48,CMP-100047,Prime Dynamics LLC,Software,US,6159,1244120.180997223,INV-403165,01/01/2026,17-Feb-2026,41711.99,overdue,M. Patel,ops0047@example.org,2289 Pine St,see thread #A12
49,CMP-100048,Delta Energy LLC,Construction,US,8749,95974.4065489228,INV-682542,14-Jul-2025,07/29/2025,"6,917.79",paid,M. Kim / M. Kim,ops0048@example.org,844 Main St,PO attached
50,CMP-100049,Union Dynamics LLC,Telecom,JP,N/A,42074.68991740686,INV-319123,2025-08-23,2025-09-11,2022.29,refunded,K. Brown,ops0049@example.org,2915 Pine St,urgent follow-up
51,CMP-100050,Prime Systems LLC,Healthcare,IN,10236,424992.7392567209,INV-702506,2025/11/20,03-Jan-2026,10685.59,overdue,M. Brown / M. Brown,ops0050@example.org,7676 Pine St,manual override (unclear)
52,CMP-100051,North Dynamics LLC,Healthcare,CA,10931,784531.5524019602,INV-460148,09/17/2025,2025-10-09,93117.99,paid,M. Garcia,ops0051@example.org,2372 Sunset St,invoice scan low quality
53,CMP-100052,Union Works LLC,Software,IN,9176,3087263.6401407346,INV-403134,2025/12/28,01/29/2026, 102544.09 ,pending,L. Kim,ops0052@example.org,6551 Pine St,manual override (unclear)
54,CMP-100053,Prime Sysstems LLC,FinTech,IN,5796,694531.7408770067,INV-717495,10/28/2025,2025-12-06,34883.35,paid,L. Kim,ops0053@example.org,5066 Pine St,check signature ???
54-dup,CMP-100053,Prime Sysstems LLC,FinTech,IN,5796,694531.7408770067,INV-717495,10/28/2025,2025-12-06,34883.35,paid,L. Kim,ops0053@example.org,5066 Pine St,check signature ???
55,CMP-100054,Union Foods LLC,Telecom,US,4749,2032030.2475879705,INV-990417,2026-02-11,2026-03-17,65326.39,paid,M. Garcia,ops0054@example.org,6372 Sunset St,PO attached
56,CMP-100055,Union Energy LLC,Construction,JP,847,"USD 160,619.99",INV-372921,08/25/2025,2025/10/04,"USD 5,622.51",paid,J. Kim,ops0055@example.org,1916 Pine St,check signature ???
57,CMP-100056,Prime Energy LLC,Healthcare,CA,3068,914866,INV-340206,10/25/2025,12/05/2025,45755.26,void,J. Nguyen,ops0056@example.org,5337 Pine St,urgent follow-up
58,CMP-100057,Delta Energy LLC,Retail,CA,11194,2332075.658733739,INV-724636,2026-02-07,2026-03-02,"100,374.85",overdue,M. Nguyen / M. Nguyen,ops0057@example.org,9327 Main St,manual override
59,CMP-100058,Union Energy LLC,Retail,MX,6041,194572,INV-956899,10-Aug-2025,2025/09/28, 14230.91 ,refunded,L. Patel,ops0058@example.org,6394 Maple St,see thread #A12
60,CMP-100059,Union Systems LLC,Energy,FR,94,969118.6918740108,INV-709369,2025-10-14,2025-11-12,55603.72,paid,L. Kim,ops0059@example.org,1014 Sunset St,PO attached
61,CMP-100060,Global Energy LLC,Manufacturing,IN,10635, 1193062.86 ,INV-428808,12/07/2025,2025-12-27,70999.61,pending,K. Kim,,2527 Maple St,check signature ???
62,CMP-100061,Global FooDs LLC,FinTech,KR,1731,3912894.552549541,INV-758644,12/26/2025,2026/02/16,116790.79,void,J. Patel,ops0061@example.org,6932 Main St,received via fax ...
63,CMP-100062,North Foods LLC,FinTech,CA,8053,416225.17396146053,INV-419342,02/05/2026,27-Feb-2026,19432.47,paid,L. Brown,ops0062@example.org,8565 Maple St,received via fax
64,CMP-100063,Union Works LLC,Software,MX,4687,165761.7637302368,INV-218535,2026/01/10,unknown,15604.99,refunded,K. Garcia,ops0063@example.org,8803 Pine St,check signature ???
65,CMP-100064,Global Energy LLC,N/A,US,2134,9.40e+05,INV-945206,08/18/2025,2025-09-05,9.99e+04,pending,L. Patel,ops0064@example.org,8809 Sunset St,acct moved to new owner !!!
66,CMP-100065,Global Foods LLC,Manufacturing,IN,10521,237842.20531217442,INV-807508,11-Oct-2025,11/26/2025,9233.39,over-due,K. Patel,ops0065@example.org,,see thread #A12
67,CMP-100066,Union Works LLC,Energy,KR,11167,1.74e+06,INV-298349,2025-07-22,2025-08-20,5.29e+04,refunded,J. Nguyen,ops0066@example.org,7192 Sunset St,received via fax
68,CMP-100067,North Works LLC,Logistics,BR,4600,3574934.736640443,INV-695629,2026-01-07,2026-01-24,91429.53,refunded,M. Garcia,ops0067@example.org,4239 Maple St,PO attached
69,CMP-100068,Prime Energy LLC,Healthcare,BR,10908,"$1,038,429.60",INV-933783,2025/12/21,01/28/2026,31077.95,overdue,J. Patel,ops0068@example.org,3328 Main St,see thread #A12 !!!
70,CMP-100069,Delta Energy LLC,Software,BR,1308,553820.4726706006,INV-375644,2025/08/28,2025-09-29,38530.74,overdue,K. Patel,ops0069@example.org,9650 Maple St,urgent follow-up
71,CMP-100070,Global Dynamics LLC,FinTech,BR,1010,1948862.91,INV-838683,08/14/2025,2025-09-14,110618.54,pending,K. Garcia / K. Garcia,ops0070@example.org,1851 Pine St,manual override
72,CMP-100071,Global Systems LLC,Construction,FR,8476,2890977.521639703,INV-323180,07/07/2025,,89925.25,pending ,K. Nguyen,ops0071@example.org,4852 Pine St,urgent follow-up
73,CMP-100072,Delta Foods LLC,Software,DE,2777,2137657.093519202,INV-403406,01-Feb-2026,27-Feb-2026,61234.33,void?,M. Kim / M. Kim,ops0072@example.org,6474 Main St,see thread #A12
74,CMP-100073,Prime Foods LLC,FinTech,KR,11406,334316.4086117154,INV-238221,2025/08/10,2025-09-24,28178.39,refunded,M. Patel,ops0073@example.org,2592 Sunset St,check signature ???
75,CMP-100074,Prime Foods LLC,Energy,CA,6101,3773733.3733757176,INV-659114,12/01/2025,2026/01/03,115945.36,pending,L. Nguyen,ops0074@example.org,986 Pine St,PO attached
76,CMP-100075,Global Energy LLC,Manufacturing,MX,736,1182338.4382127188,INV-459834,01/10/2026,unknown,59826.29,overdue,M. Patel,ops0075@example.org,1845 Maple St,manual override
77,CMP-100076,Global Dynamics LLC,Construction,DE,2656,757113.802171346,INV-355474,2025/08/27,2025/09/27,103664.51,refunded,J. Garcia,ops0076@example.org,4995 Maple St,manual override
78,CMP-100077,Union Energy LLC,Construction,KR,2940,1587425.1604676847,INV-710989,21-Aug-2025,2025/10/09,53022.33,pending,M. Patel,ops0077@example.org,5986 Sunset St,manual override
79,CMP-100078,North Dynamics LLC,Manufacturing,MX,11386,1282569.852455818,INV-945942,30-Aug-2025,13-Oct-2025,72132.99,void,M. Garcia,ops0078@example.org,4189 Sunset St,invoice scan low quality ...
80,CMP-100079,Union Energy LLC,Telecom,FR,6302,638802,INV-375039,2025-09-13,10/20/2025,50865.02,void?,L. Nguyen,ops0079@example.org,9012 Pine St,received via fax ...
81,CMP-100080,Prime Dynamics LLC,Energy,CA,10481,"1,521,354.87",INV-552584,30-Jul-2025,19-Aug-2025,49572.45,refunded,M. Brown,ops0080@example.org,5553 Sunset St,see thread #A12 ...
82,CMP-100081,North Systems LLC,Energy,BR,344,1941691.9084105478,INV-573146,09/28/2025,15-Oct-2025, 114108.07 ,pending,L. Garcia,ops0081@example.org,5824 Pine St,received via fax
83,CMP-100082,Global Systems LLC,Healthcare,FR,6514,1857957.37531728,INV-346205,08/10/2025,18-Sep-2025,114018.54,pending,J. Garcia,ops0082@example.org,6160 Main St,manual override
84,CMP-100083,North Foods LLC,Logistics,KR,6709,1503843.7677829633,INV-467509,2026-01-26,2026-02-12,68771,refunded,J. Brown,ops0083@example.org,6817 Pine St,urgent follow-up
85,CMP-100084,Global Dynamics LLC,Retail,IN,7221,1750413.6016306735,INV-393168,2025-08-23,10/22/2025,81753.79,pending,K. Nguyen,ops0084@example.org,4552 Sunset St,invoice scan low quality
86,CMP-100085,North Works LLC,Logistics,MX,1084,2104701.782450022,INV-338930,08/03/2025,2025/09/09,92858.12,paid,L. Garcia,ops0085@example.org,6212 Sunset St,check signature ???
87,CMP-100086,Delta Works LLC,Manufacturing,IN,1438,2173087.860050756,INV-632368,2025-08-06,08/26/2025, 59270.45 ,void,M. Patel,,345 Main St,check signature ???
88,CMP-100087,Delta orks LLC,Construction,IN,3798,"$2,124,927.20",INV-363991,2026-01-06,2026/02/17,"68,532.02",overdue,J. Garcia,ops0087@example.org,3936 Pine St,PO attached ...
89,CMP-100088,North Foods LLC,Retail,CA,1285,893785.39,INV-231177,2025-09-04,2025-10-09,55868.83,PAID,M. Brown,ops0088@example.org,7018 Maple St,urgent follow-up
90,CMP-100089,Prime Systems LLC,Telecom,JP,9240, 189932.27 ,INV-220701,2025-11-17,unknown,"12,936.45",PAID,M. Nguyen,ops0089@example.org,1828 Sunset St,acct moved to new owner
91,CMP-100090,Prime oWrks LLC,Logistics,BR,9314,296261.4049972235,INV-596306,2025/07/12,10-Sep-2025,"USD 30,530.12",void,J. Garcia,ops0090@example.org,9196 Main St,acct moved to new owner
92,CMP-100091,Prime Works LLC,Software,IN,7817,487940.8532983162,INV-656352,2025/07/30,2025-08-26,26541.33,void,L. Nguyen,ops0091@example.org,7367 Main St,received via fax
93,CMP-100092,Prime Systems LLC,Healthcare,BR,3620,1228528.0832038275,INV-815595,10/28/2025,2025/11/19, 112192.54 ,overdue,K. Brown,ops0092@example.org,1385 Maple St,acct moved to new owner
94,CMP-100093,Delta Energy LLC,Software,JP,5426,254686.2,INV-997372,2025/11/21,01/02/2026,29610.98,refunded,L. Kim,ops0093@example.org,6676 Main St,urgent follow-up
95,CMP-100094,Union Foods LLC,Energy,IN,8680,1090157.755704799,INV-480801,2025-08-26,2025-10-13,39987.06,void,M. Kim,ops0094@example.org,4381 Main St,received via fax
96,CMP-100095,Delta Dynamics LLC,unknown,CA,6042,2722872.9578582877,INV-928849,2025/09/26,2025/11/08,78482.99,refunded,L. Kim,ops0095@example.org,5291 Maple St,PO attached
97,CMP-100096,Global Systems LLC,Retail,BR,1763,3235397.3491139626,INV-769423,01-Dec-2025,01/28/2026,104025.47,overdue,J. Brown,ops0096@example.org,349 Sunset St,urgent follow-up
98,CMP-100097,Delta Dynamics LLC,Software,KR,9618,970170.4849454268,INV-502909,08/29/2025,11-Oct-2025,86592.99,paid,K. Patel,ops0097@example.org,1016 Maple St,urgent follow-up
99,CMP-100098,Delta Systems LLC,Healthcare,IN,5373,1579751.863963176,INV-460350,25-Sep-2025,2025/10/23,66237.83,paid,M. Patel,ops0098@example.org,8339 Sunset St,urgent follow-up
100,CMP-100099,Global Energy LLC,FinTech,FR,10843,1298193.3609891508,INV-218782,2025-07-23,2025/08/16,36501.05,Paid,J. Brown / J. Brown,N/A,583 Maple St,invoice scan low quality
101,CMP-100100,Global Systems LLC,Logistics,KR,6146,1253594.2604628233,INV-861400,27-Jan-2026,2026/02/24,33321.61,void,L. Garcia,ops0100@example.org,8049 Maple St,acct moved to new owner
102,CMP-100101,Delta Energy LLC,Software,CA,1792,3981148.927152968,INV-374279,2025-11-03,12/03/2025,113361.68,refunded,L. Kim,ops0101@example.org,6236 Sunset St,received via fax
103,CMP-100102,Delta Energy LLC,Manufacturing,FR,3387,2628519.996644378,INV-374860,2025-10-09,2025-12-05,89042.35,Paid,K. Garcia,ops0102@example.org,528 Pine St,PO attached
104,CMP-100103,Global Works LLC,FinTech,MX,2145,56348.312879702054,INV-770694,2025-09-13,2025/11/01,3407.16,pending ,L. Patel,ops0103@example.org,4086 Main St,manual override !!!
105,CMP-100104,Union Systems LLC,,CA,11646,1023173.0891049869,INV-546164,2025/11/01,2025-11-20,100775.47,refunded,J. Kim,ops0104@example.org,9503 Sunset St,see thread #A12
106,CMP-100105,Union Energy LLC,Logistics,KR,103,957509.5324463743,INV-927282,02-Nov-2025,29-Dec-2025,34479.29,paid,K. Patel,ops0105@example.org,2572 Main St,acct moved to new owner (unclear)
107,CMP-100106,Delta Energy LLC,Retail,CA,6963,1839296.740185422,INV-857679,2025-08-31,2025/10/05,63039.82,void,K. Brown,ops0106@example.org,1681 Maple St,acct moved to new owner
108,CMP-100107,Prime Foods LLC,Energy,BR,9462,2074393,INV-954672,07/27/2025,08/12/2025,97649.4,overdue,K. Kim,,6258 Main St,check signature ???
109,CMP-100108,Delta Energy LLC,Manufacturing,BR,158,59961.12001001303,INV-548410,22-Nov-2025,2025-12-16,4445.82,overdue,M. Kim,ops0108@example.org,1391 Main St,
110,CMP-100109,North  Energy LLC,Retail,KR,5807,2761759.0081754965,INV-582019,2026-01-28,2026-03-05,84191.16,paid,L. Garcia,ops0109@example.org,670 Maple St,PO attached
111,CMP-100110,Union nEergy LLC,Telecom,BR,N/A,801591.9320775283,INV-983176,29-Dec-2025,02/13/2026,31335.66,void,M. Brown,ops0110@example.org,3321 Main St,acct moved to new owner
112,CMP-100111,Delta Systems LLC,Telecom,JP,2389,2631242.6426098566,INV-944085,16-Oct-2025,2025/12/07,68183.06,pending,L. Garcia,ops0111@example.org,6861 Pine St,PO attached
113,CMP-100112,North Energy LLC,Construction,JP,10260,816956.1802512156,INV-798463,14-Aug-2025,10-Sep-2025,69569.96,void?,M. Nguyen,ops0112@example.org,678 Sunset St,check signature ???
114,CMP-100113,Delta Systems LLC,N/A,IN,9961,676996.3999523948,INV-675452,2025/09/17,24-Oct-2025,106242.77,refunded,K. Nguyen,ops0113@example.org,8658 Sunset St,check signature ???
115,CMP-100114,Delta Dynamics LLC,Manufacturing,US,4148,2998561.6145289764,INV-315516,13-Oct-2025,2025/11/14,78193.98,overdue,J. Kim / J. Kim,ops0114@example.org,5014 Pine St,received via fax
116,CMP-100115,Delta Dynamics LLC,Retail,FR,6307,2687416.468309381,INV-966495,07/22/2025,2025-08-28,81024.09,paid,K. Patel,ops0115@example.org,6905 Main St,PO attached
117,CMP-100116,Union Foods LLC,Energy,DE,7201,160034.49116075563,INV-515880,01/29/2026,2026/03/05,22176.71,overdue,K. Kim,ops0116@example.org,4260 Pine St,urgent follow-up
118,CMP-100117,Delta Foods LLC,Manufacturing,JP,3119,913619.1095662913,INV-390515,10/20/2025,2025/11/16, 22899.83 ,void,M. Garcia / M. Garcia,ops0117@example.org,4670 Maple St,urgent follow-up
119,CMP-100118,North Works LLC,Construction,KR,8606,941475.5698919396,INV-901483,08/01/2025,08/23/2025,3.97e+04,void,J. Nguyen,ops0118@example.org,3917 Pine St,PO attached
120,CMP-100119,Global Systems LLC,Retail,IN,241,352334.3617817942,INV-662133,2025/08/31,09/26/2025,41095.84,pending,K. Nguyen,ops0119@example.org,6294 Main St,received via fax
121,CMP-100120,Global Energy LLC,Logistics,KR,1902,744949.3234467191,INV-314937,2025-11-07,unknown,101059.91,pending,K. Brown,ops0120@example.org,4741 Sunset St,urgent follow-up
122,CMP-100121,Union Dynamics LLC,Construction,JP,7531,1562531.3895673074,INV-990551,18-Oct-2025,04-Dec-2025,70378,refunded,L. Brown,ops0121@example.org,926 Main St,invoice scan low quality
123,CMP-100122,Union Systems LLC,Manufacturing,US,6368,860670.4240559954,INV-606135,2025-10-29,2025-11-21,53917.97,refunded,J. Nguyen,ops0122@example.org,7707 Main St,urgent follow-up
124,CMP-100123,Union Dynamics LLC,FinTech,DE,1156,644917.008430942,INV-446904,2025-12-25,2026-02-06,98208.07,pending,M. Brown,ops0123@example.org,4792 Sunset St,received via fax
125,CMP-100124,Prime Foods LLC,FinTech,CA,unknown,260424.21588081578,INV-319621,02-Feb-2026,02/20/2026,19820.17,refunded,J. Kim,ops0124@example.org,6029 Main St,received via fax
126,CMP-100125,Union Dynamics LLC,Telecom,IN,10040,1393848.8774756643,INV-948979,25-Jan-2026,2026/03/01,42621,pending,M. Garcia,ops0125@example.org,5712 Main St,PO attached
127,CMP-100126,Prime Dynamics LLC,Software,MX,9766,1180296.239266774,INV-965574,01-Feb-2026,N/A,33174.72,void,L. Garcia,ops0126@example.org,7899 Pine St,acct moved to new owner
128,CMP-100127,Delta Energy LLC,Software,FR,260,623193.256714031,INV-451250,22-Jan-2026,20-Feb-2026,15972.19,void,J. Garcia,ops0127@example.org,4804 Maple St,PO attached
129,CMP-100128,Prime Energy LLC,Healthcare,JP,5239,11242.41,INV-383598,13-Aug-2025,2025-09-17,671.41,refunded,K. Kim,ops0128@example.org,1559 Pine St,PO attached
130,CMP-100129,Union Dynamics LLC,Retail,US,4937,283657.9082978716,INV-907796,10/30/2025,2025/12/25,28034.42,void,K. Nguyen,ops0129@example.org,7500 Sunset St,received via fax
131,CMP-100130,Prime Works LLC,Construction,CA,3350,470248.8016297894,INV-300301,11-Jul-2025,08/07/2025,20480.02,pending ,K. Kim,ops0130@example.org,9044 Main St,urgent follow-up
132,CMP-100131,Union Foods LLC,Energy,CA,3306,3384225.5716507174,INV-768532,07/16/2025,2025/08/05,103622.76,refunded,L. Nguyen,ops0131@example.org,800 Sunset St,invoice scan low quality ...
133,CMP-100132,North Dynamics LLC,Manufacturing,DE,580,4289588.104456809,INV-580621,10/08/2025,14-Nov-2025,114452.56,paid,M. Nguyen,ops0132@example.org,5203 Pine St,received via fax
134,CMP-100133,Global Foods LLC,Telecom,IN,11010,1722205.4884234376,INV-306964,2025/08/22,20-Oct-2025,48556.08,paid,M. Patel,ops0133@example.org,3374 Pine St,manual override !!!
135,CMP-100134,Delta Foods LLC,unknown,MX,602,1431809.09,INV-688609,11/17/2025,16-Dec-2025, 71660.87 ,overdue,J. Brown,ops0134@example.org,8970 Sunset St,PO attached
136,CMP-100135,North Energy LLC,FinTech,IN,167,2172769.548552443,INV-679237,29-Jul-2025,2025-08-13,110596.6,refunded,L. Kim / L. Kim,ops0135@example.org,2913 Pine St,manual override
137,CMP-100136,North Foods LLC,Telecom,IN,2942,902239.5072231669,INV-381608,2025/12/17,2026-02-11,23436.13,pending,M. Brown / M. Brown,ops0136@example.org,3988 Sunset St,invoice scan low quality
138,CMP-100137,Delta Foods LLC,Energy,CA,8850,1786681.1960586256,INV-894906,2025-10-27,2025/11/17,6.13e+04,paid,L. Garcia,ops0137@example.org,8488 Maple St,manual override
